Untitled report
1 December 2025 - 1 March 2026
Campaign,Day,Currency code,Cost,Clicks,Impr.,Conversions,Conv. value,Cost / conv.
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-15,GBP,301.68,660,"2,903",24.58,"7,405.81",12.28
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-15,GBP,259.17,730,"57,007",30.34,"4,965.57",8.54
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-15,GBP,286.85,593,"2,502",48.77,"11,854.75",5.88
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-15,GBP,30.17,85,453,2.39,809.98,12.62
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-15,GBP,268.65,810,"51,733",45.40,"9,016.11",5.92
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-15,GBP,161.90,690,"35,764",38.90,"10,268.53",4.16
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-15,GBP,454.96,"1,140","4,323",78.64,"14,428.46",5.78
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-15,GBP,77.48,224,941,21.73,"4,094.76",3.57
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-15,GBP,32.70,37,655,1.50,390.49,21.80
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-15,GBP,31.83,44,642,9.67,"2,769.05",3.29
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-15,GBP,11.51,26,245,3.00,870.31,3.84
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-15,GBP,17.43,23,337,1.10,143.68,15.88
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-16,GBP,518.06,676,"33,380",62.00,"14,941.37",8.36
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-16,GBP,241.07,517,"2,294",17.73,"5,587.60",13.60
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-16,GBP,257.85,679,"53,664",44.58,"6,407.96",5.78
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-16,GBP,442.83,635,"2,495",41.46,"11,711.56",10.68
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-16,GBP,31.54,63,319,0.03,6.85,1014.21
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-16,GBP,156.74,438,"31,020",24.65,"4,222.21",6.36
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-16,GBP,109.66,420,"24,709",25.73,"6,179.44",4.26
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-16,GBP,450.48,966,"3,608",98.83,"17,811.69",4.56
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-16,GBP,74.30,193,766,8.15,"1,135.06",9.12
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-16,GBP,65.84,71,931,2.00,207.23,32.92
UK_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-16,GBP,64.86,64,868,2.66,416.86,24.40
DE_DE_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-16,GBP,21.13,44,687,1.00,199.35,21.13
AU_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-16,GBP,20.47,33,307,1.17,141.88,17.47
US_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-17,GBP,449.31,521,"30,011",48.88,"12,207.45",9.19
DE_DE_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-17,GBP,189.64,466,"1,939",24.73,"4,903.15",7.67
UK_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-17,GBP,433.18,828,"79,838",34.40,"6,356.04",12.59
US_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-17,GBP,469.33,503,"2,156",24.47,"5,821.60",19.18
DE_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-17,GBP,25.75,47,334,1.05,176.94,24.51
AU_EN_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-17,GBP,124.73,248,"15,598",9.48,"2,085.01",13.15
DE_DE_PaidSearch_Google_PMAX_AlwaysOn_Conv,2026-02-17,GBP,174.81,389,"17,259",19.76,"4,515.39",8.85
UK_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-17,GBP,431.53,868,"3,594",80.84,"12,473.49",5.34
AU_EN_PaidSearch_Google_BRA_AlwaysOn_Conv,2026-02-17,GBP,108.07,219,843,12.70,"1,775.92",8.51
US_EN_PaidSearch_Google_GEN_AlwaysOn_Conv,2026-02-17,GBP,111.51,94,"1,421",1.15,445.19,97.24
